,Description,Parameters,Return,ApiLevel,ClassDescription,PackageDescription,sensitive data?,shared resource?,sensitive shared resource?,produces sensitive data from shared resource?,writes sensitive data to shared resource?,Source?,Sink?,Needs Clarification
<android.app.MediaRouteButton: void onAttachedToWindow()>,"This is called when the view is attached to a window.  At this point it
 has a Surface and will start drawing.  Note that this function is
 guaranteed to be called before onDraw(android.graphics.Canvas) however it may be called any time before the first onDraw -- including
 before or after onMeasure(int int) . If you override this method you must call through to the
 superclass implementation.",,void,16,,"Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 design—especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activity—allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User .",no,no,0,no,no,no,no,
<android.net.ConnectivityManager: NetworkInfo getAllNetworkInfo()>,"This method was deprecated
      in API level 23. This method does not support multiple connected networks
             of the same type. Use getAllNetworks() and getNetworkInfo(android.net.Network) instead. Returns connection status information about all network
 types supported by the device. Requires Manifest.permission.ACCESS_NETWORK_STATE",,"NetworkInfo[] an array of NetworkInfo objects.  Check each NetworkInfo#getType for which type each applies.

 This value will never be null . |||",1,"Class that answers queries about the state of network connectivity. It also
 notifies applications when network connectivity changes.
  
 The primary responsibilities of this class are to:
  Monitor network connections (Wi-Fi GPRS UMTS etc.) Send broadcast intents when network connectivity changes Attempt to ""fail over"" to another network when connectivity to a network
 is lost Provide an API that allows applications to query the coarse-grained or fine-grained
 state of the available networks Provide an API that allows applications to request and select networks for their data
 traffic",,network info,network ,1,yes,no,SOURCE,no,Yes. What did we decide with regards to info ABOUT the network  
"<android.os.Bundle: void putFloat(String,float)>","Inserts a float value into the mapping of this Bundle replacing
 any existing value for the given key.","key String : a String or null
This value may be null . |||
value float : a float |||",void,1,A mapping from String keys to various  Parcelable  values.,,uncategorized,no,0,no,no,no,no,
"<android.accounts.AccountManager: AccountManagerFuture confirmCredentials(Account,Bundle,Activity,AccountManagerCallback,Handler)>"," Confirms that the user knows the password for an account to make extra
 sure they are the owner of the account.  The user-entered password can
 be supplied directly otherwise the authenticator for this account type
 prompts the user with the appropriate interface.  This method is
 intended for applications which want extra assurance; for example the
 phone lock screen uses this to let the user unlock the phone with an
 account password if they forget the lock pattern. If the user-entered password matches a saved password for this
 account the request is considered valid; otherwise the authenticator
 verifies the password (usually by contacting the server). This method may be called from any thread but the returned AccountManagerFuture must not be used on the main thread. NOTE: If targeting your app to work on API level 22 and before
 MANAGE_ACCOUNTS permission is needed for those platforms. See docs
 for this function in API level 22. Requires android.Manifest.permission.MANAGE_ACCOUNTS","account Account : The account to confirm password knowledge for |||
options Bundle : Authenticator-specific options for the request;
if the KEY_PASSWORD string field is present the
authenticator may use it directly rather than prompting the user;
may be null or empty |||
activity Activity : The Activity context to use for launching a new
authenticator-defined sub-Activity to prompt the user to enter a
password; used only to call startActivity(); if null the prompt
will not be launched directly but the necessary Intent will be returned to the caller instead |||
callback AccountManagerCallback : Callback to invoke when the request completes
null for no callback |||
handler Handler : Handler identifying the callback thread
null for the main thread |||","AccountManagerFuture < Bundle > An AccountManagerFuture which resolves to a Bundle
     with these fields if activity or password was supplied and
     the account was successfully verified: KEY_ACCOUNT_NAME - the name of the account verified KEY_ACCOUNT_TYPE - the type of the account KEY_BOOLEAN_RESULT - true to indicate success If no activity or password was specified the returned Bundle contains KEY_INTENT with the Intent needed to launch the
 password prompt. Also the returning Bundle may contain KEY_LAST_AUTHENTICATED_TIME indicating the last time the
 credential was validated/created.

 If an error occurred AccountManagerFuture#getResult() throws: AuthenticatorException if the authenticator failed to respond OperationCanceledException if the operation was canceled for
      any reason including the user canceling the password prompt IOException if the authenticator experienced an I/O problem
      verifying the password usually because of network trouble |||",5,"This class provides access to a centralized registry of the user's
 online accounts.  The user enters credentials (username and password) once
 per account granting applications access to online resources with
 ""one-click"" approval.

  Different online services have different ways of handling accounts and
 authentication so the account manager uses pluggable  authenticator 
 modules for different  account types .  Authenticators (which may be
 written by third parties) handle the actual details of validating account
 credentials and storing account information.  For example Google Facebook
 and Microsoft Exchange each have their own authenticator.

  Many servers support some notion of an  authentication token 
 which can be used to authenticate a request to the server without sending
 the user's actual password.  (Auth tokens are normally created with a
 separate request which does include the user's credentials.)  AccountManager
 can generate auth tokens for applications so the application doesn't need to
 handle passwords directly.  Auth tokens are normally reusable and cached by
 AccountManager but must be refreshed periodically.  It's the responsibility
 of applications to  invalidate  auth tokens when they stop working so
 the AccountManager knows it needs to regenerate them.

  Applications accessing a server normally go through these steps:

  Get an instance of AccountManager using  get(android.content.Context) .

  List the available accounts using  getAccountsByType(String)  or
  getAccountsByTypeAndFeatures(String String[] AccountManagerCallback  Handler) .  Normally applications will only
 be interested in accounts with one particular  type  which
 identifies the authenticator.  Account  features  are used to
 identify particular account subtypes and capabilities.  Both the account
 type and features are authenticator-specific strings and must be known by
 the application in coordination with its preferred authenticators.

  Select one or more of the available accounts possibly by asking the
 user for their preference.  If no suitable accounts are available
  addAccount(String String String[] Bundle Activity AccountManagerCallback  Handler)  may be called to prompt the user to create an
 account of the appropriate type.

  Important:  If the application is using a previously remembered
 account selection it must make sure the account is still in the list
 of accounts returned by  getAccountsByType(String) .  Requesting an auth token
 for an account no longer on the device results in an undefined failure.

  Request an auth token for the selected account(s) using one of the
  getAuthToken(Account String Bundle Activity AccountManagerCallback  Handler)  methods or related helpers.  Refer to the description
 of each method for exact usage and error handling details.

  Make the request using the auth token.  The form of the auth token
 the format of the request and the protocol used are all specific to the
 service you are accessing.  The application may use whatever network and
 protocol libraries are useful.

  Important:  If the request fails with an authentication error
 it could be that a cached auth token is stale and no longer honored by
 the server.  The application must call  invalidateAuthToken(String String)  to remove
 the token from the cache otherwise requests will continue failing!  After
 invalidating the auth token immediately go back to the ""Request an auth
 token"" step above.  If the process fails the second time then it can be
 treated as a ""genuine"" authentication failure and the user notified or other
 appropriate actions taken.
  Some AccountManager methods may need to interact with the user to
 prompt for credentials present options or ask the user to add an account.
 The caller may choose whether to allow AccountManager to directly launch the
 necessary user interface and wait for the user or to return an Intent which
 the caller may use to launch the interface or (in some cases) to install a
 notification which the user can select at any time to launch the interface.
 To have AccountManager launch the interface directly the caller must supply
 the current foreground  Activity  context.

  Many AccountManager methods take  AccountManagerCallback  and
  Handler  as parameters.  These methods return immediately and
 run asynchronously. If a callback is provided then
  AccountManagerCallback#run  will be invoked on the Handler's
 thread when the request completes successfully or not.
 The result is retrieved by calling  AccountManagerFuture#getResult() 
 on the  AccountManagerFuture  returned by the method (and also passed
 to the callback).  This method waits for the operation to complete (if
 necessary) and either returns the result or throws an exception if an error
 occurred during the operation.  To make the request synchronously call
  AccountManagerFuture#getResult()  immediately on receiving the
 future from the method; no callback need be supplied.

  Requests which may block including
  AccountManagerFuture#getResult()  must never be called on
 the application's main event thread.  These operations throw
  IllegalStateException  if they are used on the main thread.",,no,no,0,no,no,no,no,"Seems maybe sensitive, but Im not sure"
"<android.app.Activity: void startActivityForResult(Intent,int)>",Same as calling startActivityForResult(android.content.Intent int android.os.Bundle) with no options.,"intent Intent : The intent to start. |||
requestCode int : If >= 0 this code will be returned in
onActivityResult() when the activity exits. |||",void,1,"An activity is a single focused thing that the user can do.  Almost all
 activities interact with the user so the Activity class takes care of
 creating a window for you in which you can place your UI with
  setContentView(View) .  While activities are often presented to the user
 as full-screen windows they can also be used in other ways: as floating
 windows (via a theme with  R.attr.windowIsFloating  set)
  
 Multi-Window mode  or embedded into other windows.

 There are two methods almost all subclasses of Activity will implement:

  onCreate(Bundle)  is where you initialize your activity.  Most
     importantly here you will usually call  setContentView(int) 
     with a layout resource defining your UI and using  findViewById(int) 
     to retrieve the widgets in that UI that you need to interact with
     programmatically.

      onPause()  is where you deal with the user pausing active
     interaction with the activity. Any changes made by the user should at
     this point be committed (usually to the
      ContentProvider  holding the data). In this
     state the activity is still visible on screen.
  To be of use with  Context.startActivity()  all
 activity classes must have a corresponding
  <activity> 
 declaration in their package's  AndroidManifest.xml . Topics covered here:
  Fragments Activity Lifecycle Configuration Changes Starting Activities and Getting Results Saving Persistent State Permissions Process Lifecycle","Contains high-level classes encapsulating the overall Android application model. An Android application is defined using one or more of Android's four core application
 components. Two such application components are defined in this package:  Activity  and  Service . The other two components are from the  android.content  package:  BroadcastReceiver  and  ContentProvider . An  Activity  is an application component that provides a screen with which
 users can interact in order to do something such as dial the phone take a photo send an email or
 view a map. An activity can start other activities including activities that live in separate
 applications. A  Service  is an application component that can perform
 long-running operations in the background without a user interface. For example a service
 can handle network transactions play music or work with a content provider without the user being
 aware of the work going on. The  Fragment  class is also an important part of an application's
 design—especially when designing for large screen devices such as tablets. A fragment defines
 a distinct part of an activity's behavior including the associated UI. It has its own lifecycle
 that is similar to that of the activity and can exist alongside other fragments that are embedded in
 the activity. While an activity is running you can add and remove fragments and include each
 fragment in a back stack that's managed by the activity—allowing the user to navigate
 backwards through the fragment states without leaving the activity. This package also defines application utilities such as dialogs notifications and the
 action bar. For information about using some the classes in this package see the following
 documents:  Activities   Services   Fragments   Using the Action Bar   Creating Dialogs  and  Notifying the User .",no,no,0,no,no,no,no,
<android.service.dreams.DreamService: void onDestroy()>,"Called by the system to notify a Service that it is no longer used and is being removed.  The
 service should clean up any resources it holds (threads registered
 receivers etc) at this point.  Upon return there will be no more calls
 in to this Service object and it is effectively dead.  Do not call this method directly.",,void,17,"Extend this class to implement a custom dream (available to the user as a ""Daydream"").

  Dreams are interactive screensavers launched when a charging device is idle or docked in a
 desk dock. Dreams provide another modality for apps to express themselves tailored for
 an exhibition/lean-back experience. The  DreamService  lifecycle is as follows: onAttachedToWindow() Use this for initial setup such as calling  setContentView() . onDreamingStarted() Your dream has started so you should  begin animations or other behaviors here. onDreamingStopped() Use this to stop the things you started in  onDreamingStarted() . onDetachedFromWindow() Use this to dismantle resources (for example detach from handlers
        and listeners). In addition onCreate and onDestroy (from the Service interface) will also be called but
 initialization and teardown should be done by overriding the hooks above. To be available to the system your  DreamService  should be declared in the
 manifest as follows: 
 <service
     android:name="".MyDream""
     android:exported=""true""
     android:icon=""@drawable/my_icon""
     android:label=""@string/my_dream_label"" >

     <intent-filter>
         <action android:name=""android.service.dreams.DreamService"" />
         <category android:name=""android.intent.category.DEFAULT"" />
     </intent-filter>

     <!-- Point to additional information for this dream (optional) -->
     <meta-data
         android:name=""android.service.dream""
         android:resource=""@xml/my_dream"" />
 </service>
  If specified with the  <meta-data>  element
 additional information for the dream is defined using the
  <dream>  element in a separate XML file.
 Currently the only addtional
 information you can provide is for a settings activity that allows the user to configure
 the dream behavior. For example: res/xml/my_dream.xml 
 <dream xmlns:android=""http://schemas.android.com/apk/res/android""
     android:settingsActivity=""com.example.app/.MyDreamSettingsActivity"" />
  This makes a Settings button available alongside your dream's listing in the
 system settings which when pressed opens the specified activity. To specify your dream layout call  setContentView(View)  typically during the
  onAttachedToWindow()  callback. For example: 
 public class MyDream extends DreamService {

     @Override
     public void onAttachedToWindow() {
         super.onAttachedToWindow();

         // Exit dream upon user touch
         setInteractive(false);
         // Hide system UI
         setFullscreen(true);
         // Set the dream layout
         setContentView(R.layout.dream);
     }
 }
  When targeting api level 21 and above you must declare the service in your manifest file
 with the  Manifest.permission.BIND_DREAM_SERVICE  permission. For example: 
 <service
     android:name="".MyDream""
     android:exported=""true""
     android:icon=""@drawable/my_icon""
     android:label=""@string/my_dream_label""
     android:permission=""android.permission.BIND_DREAM_SERVICE"">
   <intent-filter>
     <action android:name=”android.service.dreams.DreamService” />
     <category android:name=”android.intent.category.DEFAULT” />
   </intent-filter>
 </service>",,no,no,0,no,no,no,no,
<android.widget.RatingBar: void setMax(int)>,Set the upper range of the progress bar max .,max int : the upper range of this progress bar |||,void,1,"A RatingBar is an extension of SeekBar and ProgressBar that shows a rating in
 stars. The user can touch/drag or use arrow keys to set the rating when using
 the default size RatingBar. The smaller RatingBar style (
  R.attr.ratingBarStyleSmall ) and the larger indicator-only
 style ( R.attr.ratingBarStyleIndicator ) do not support user
 interaction and should only be used as indicators.
  
 When using a RatingBar that supports user interaction placing widgets to the
 left or right of the RatingBar is discouraged.
  
 The number of stars set (via  setNumStars(int)  or in an XML layout)
 will be shown when the layout width is set to wrap content (if another layout
 width is set the results may be unpredictable).
  
 The secondary progress should not be modified by the client as it is used
 internally as the background for a fractionally filled star.","The widget package contains (mostly visual) UI elements to use
 on your Application screen. You can also design your own.
  
 To create your own widget extend  View  or a subclass. To
 use your widget in layout XML there are two additional files for you to
 create. Here is a list of files you'll need to create to implement a custom
 widget:
  Java implementation file  - This is the file that implements the
 behavior of the widget. If you can instantiate the object from layout XML
 you will also have to code a constructor that retrieves all the attribute
 values from the layout XML file. XML definition file  - An XML file in res/values/ that defines
 the XML element used to instantiate your widget and the attributes that it
 supports. Other applications will use this element and attributes in their in
 another in their layout XML. Layout XML  [ optional ]- An optional XML file inside
 res/layout/ that describes the layout of your widget. You could also do
 this in code in your Java file. 
 ApiDemos sample application has an example of creating a custom layout XML
 tag LabelView. See the following files that demonstrate implementing and using
 a custom widget:
  LabelView.java  - The implementation file res/values/attrs.xml  - Definition file res/layout/custom_view_1.xml  - Layout file",no,no,0,no,no,no,no,
<android.view.inputmethod.InputMethodInfo: CharSequence loadLabel(PackageManager)>,Load the user-displayed label for this input method.,"pm PackageManager : Supply a PackageManager used to load the input method's
resources. |||",CharSequence |||,3,"This class is used to specify meta information of an input method.

  It should be defined in an XML resource file with an  <input-method>  element.
 For more information see the guide to
  
 Creating an Input Method .",,no,no,0,no,no,no,no,
<android.content.ClipboardManager: ClipData getPrimaryClip()>,Returns the current primary clip on the clipboard. If the application is not the default IME or does not have input focus this return null .,,ClipData |||,11,"Interface to the clipboard service for placing and retrieving text in
 the global clipboard.

  
 The ClipboardManager API itself is very simple: it consists of methods
 to atomically get and set the current primary clipboard data.  That data
 is expressed as a  ClipData  object which defines the protocol
 for data exchange between applications.","Contains classes for accessing and publishing data on a device.  It includes three main
 categories of APIs: Content sharing ( android.content ) For sharing content between application components. The most important classes are:
      ContentProvider  and  ContentResolver 
   for managing and publishing persistent data associated with an application. Intent  and  IntentFilter  for delivering
   structured messages between different application components—allowing components to initiate
   other components and return results. Package management ( android.content.pm ) For accessing information about an Android package (an  .apk ) including information
 about its activities permissions services signatures and providers. The most important class for
 accessing this information is  PackageManager . Resource management ( android.content.res ) For retrieving resource data associated with an application such as strings drawables
 media and device configuration details. The most important class for accessing this data is  Resources .",yes?,clipboard,1,yes,no,SOURCE,no,Is the clipboard sensitive?
"<android.test.TouchUtils: int dragViewToY(InstrumentationTestCase,View,int,int)>",Simulate touching a view and dragging it to a specified location. Only moves vertically.,"test InstrumentationTestCase : The test case that is being run |||
v View : The view that should be dragged |||
gravity int : Which part of the view to use for the initial down event. A combination of
(TOP CENTER_VERTICAL BOTTOM) and (LEFT CENTER_HORIZONTAL RIGHT) |||
toY int : Final location of the view after dragging |||",int distance in pixels covered by the drag |||,3,"Reusable methods for generating touch events. These methods can be used with
 InstrumentationTestCase or ActivityInstrumentationTestCase2 to simulate user interaction with
 the application through a touch screen.",,no,UI,0,no,no,no,no,
