,SS GroundT,Cat GroundT,Description,Return,Parameters,ApiLevel
<android.graphics.fonts.FontStyle: int getSlant()>,,,Gets the slant value,"int a slant value
 
 Value is FONT_SLANT_UPRIGHT or FONT_SLANT_ITALIC |||",,29.0
<android.widget.ScrollView: void setTopEdgeEffectColor(int)>,,,Sets the top edge effect color.,void,color int : The color for the top edge effect. |||,29.0
<android.app.admin.DevicePolicyManager: int getLockTaskFeatures(ComponentName)>,,,Gets which system features are enabled for LockTask mode.,"int bitfield of flags. See setLockTaskFeatures(android.content.ComponentName int) for a list.
 Value is either 0 or a combination of LOCK_TASK_FEATURE_NONE  LOCK_TASK_FEATURE_SYSTEM_INFO  LOCK_TASK_FEATURE_NOTIFICATIONS  LOCK_TASK_FEATURE_HOME  LOCK_TASK_FEATURE_OVERVIEW  LOCK_TASK_FEATURE_GLOBAL_ACTIONS  LOCK_TASK_FEATURE_KEYGUARD and LOCK_TASK_FEATURE_BLOCK_ACTIVITY_START_IN_TASK |||","admin ComponentName : Which DeviceAdminReceiver this request is associated with.
This value must never be null . |||",28.0
<android.view.contentcapture.ContentCaptureManager: void setContentCaptureEnabled(boolean)>,,,"Called by apps to explicitly enable or disable content capture. Note: this call is not persisted accross reboots so apps should typically call
 it on Activity.onCreate(android.os.Bundle android.os.PersistableBundle) .",void,enabled boolean |||,29.0
<android.view.SurfaceControl.Builder: SurfaceControl build()>,,,"Construct a new SurfaceControl with the set parameters. The builder
 remains valid.",SurfaceControl This value will never be null . |||,,29.0
"<android.os.Trace: void beginAsyncSection(String,int)>",,,"Writes a trace message to indicate that a given section of code has
 begun. Must be followed by a call to endAsyncSection(java.lang.String int) with the same
 methodName and cookie. Unlike beginSection(java.lang.String) and endSection() asynchronous events do not need to be nested. The name and cookie used to
 begin an event must be used to end it.",void,"methodName String : The method name to appear in the trace.
This value must never be null . |||
cookie int : Unique identifier for distinguishing simultaneous events |||",29.0
<android.widget.AbsListView: void setBottomEdgeEffectColor(int)>,,,Sets the bottom edge effect color.,void,color int : The color for the bottom edge effect. |||,29.0
<android.media.MediaSession2.ControllerInfo: int hashCode()>,,,"Returns a hash code value for the object. This method is
 supported for the benefit of hash tables such as those provided by HashMap . The general contract of hashCode is: Whenever it is invoked on the same object more than once during
     an execution of a Java application the hashCode method
     must consistently return the same integer provided no information
     used in equals comparisons on the object is modified.
     This integer need not remain consistent from one execution of an
     application to another execution of the same application. 
If two objects are equal according to the equals(Object) method then calling the hashCode method on each of
     the two objects must produce the same integer result. 
It is not required that if two objects are unequal
     according to the equals(java.lang.Object) method then calling the hashCode method on each of the
     two objects must produce distinct integer results.  However the
     programmer should be aware that producing distinct integer results
     for unequal objects may improve the performance of hash tables. 
As much as is reasonably practical the hashCode method defined by
 class Object does return distinct integers for distinct
 objects. (This is typically implemented by converting the internal
 address of the object into an integer but this implementation
 technique is not required by the
 Java™ programming language.)",int a hash code value for this object. |||,,29.0
<android.view.textclassifier.TextSelection.Request: int getStartIndex()>,,,Returns start index of the selected part of text.,int Value is 0 or greater |||,,28.0
<android.telephony.CellIdentityTdscdma: boolean equals(Object)>,,,"Indicates whether some other object is ""equal to"" this one. The equals method implements an equivalence relation
 on non-null object references: It is reflexive : for any non-null reference value x  x.equals(x) should return true . 
It is symmetric : for any non-null reference values x and y  x.equals(y) should return true if and only if y.equals(x) returns true . 
It is transitive : for any non-null reference values x  y and z if x.equals(y) returns true and y.equals(z) returns true then x.equals(z) should return true . 
It is consistent : for any non-null reference values x and y multiple invocations of x.equals(y) consistently return true or consistently return false provided no
     information used in equals comparisons on the
     objects is modified. 
For any non-null reference value x  x.equals(null) should return false . 
The equals method for class Object implements
 the most discriminating possible equivalence relation on objects;
 that is for any non-null reference values x and y this method returns true if and only
 if x and y refer to the same object
 ( x == y has the value true ). Note that it is generally necessary to override the hashCode method whenever this method is overridden so as to maintain the
 general contract for the hashCode method which states
 that equal objects must have equal hash codes.","boolean true if this object is the same as the obj
          argument; false otherwise. |||",other Object : the reference object with which to compare. |||,28.0
<android.net.LinkProperties: void setInterfaceName(String)>,,,"Sets the interface name for this link.  All RouteInfo already set for this
 will have their interface changed to match this new value.",void,"iface String : The name of the network interface used for this link.
This value may be null . |||",29.0
<android.security.keystore.KeyInfo: boolean isTrustedUserPresenceRequired()>,,,"Returns true if the key can only be only be used if a test for user presence has
 succeeded since Signature.initSign() has been called.",boolean |||,,28.0
