,SS GroundT,Cat GroundT,Description,Return,Parameters,ApiLevel
<android.accessibilityservice.AccessibilityServiceInfo: int getNonInteractiveUiTimeoutMillis()>,3,,Get the recommended timeout for non-interactive controls.,int The timeout in milliseconds. |||,,29
"<android.app.Activity: void onGetDirectActions(CancellationSignal,Consumer)>",1,,"Returns the list of direct actions supported by the app. You should return the list of actions that could be executed in the
 current context which is in the current state of the app. If the actions
 that could be executed by the app changes you should report that via
 calling VoiceInteractor#notifyDirectActionsChanged() . To get the voice interactor you need to call getVoiceInteractor() which would return non null only if there is an ongoing voice
 interaction session. You an also detect when the voice interactor is no
 longer valid because the voice interaction session that is backing is finished
 by calling VoiceInteractor#registerOnDestroyedCallback(Executor Runnable) . This method will be called only after onStart() is being called and
 before onStop() is being called. You should pass to the callback the currently supported direct actions which
 cannot be null or contain null elements. You should return the action list as soon as possible to ensure the consumer
 for example the assistant is as responsive as possible which would improve user
 experience of your app.",void,"cancellationSignal CancellationSignal : A signal to cancel the operation in progress.
This value must never be null . |||
callback Consumer : The callback to send the action list. The actions list cannot
contain null elements. You can call this on any thread.
This value must never be null . |||",29
<android.app.Activity: void registerActivityLifecycleCallbacks(Application.ActivityLifecycleCallbacks)>,3,,"Register an Application.ActivityLifecycleCallbacks instance that receives
 lifecycle callbacks for only this Activity. In relation to any Application#registerActivityLifecycleCallbacks the callbacks registered here will always occur nested within those callbacks. This means: Pre events will first be sent to Application registered callbacks then to callbacks
     registered here. 
Application.ActivityLifecycleCallbacks#onActivityCreated(Activity Bundle)  Application.ActivityLifecycleCallbacks#onActivityStarted(Activity) and Application.ActivityLifecycleCallbacks#onActivityResumed(Activity) will
     be sent first to Application registered callbacks then to callbacks registered here.
     For all other events callbacks registered here will be sent first. 
Post events will first be sent to callbacks registered here then to
     Application registered callbacks. 
If multiple callbacks are registered here they receive events in a first in (up through Application.ActivityLifecycleCallbacks#onActivityPostResumed last out
 ordering. It is strongly recommended to register this in the constructor of your Activity to ensure
 you get all available callbacks. As this callback is associated with only this Activity
 it is not usually necessary to unregister it
 unless you specifically do not want to receive further lifecycle callbacks.",void,"callback Application.ActivityLifecycleCallbacks : The callback instance to register
This value must never be null . |||",29
<android.app.ActivityManager: boolean isRunningInUserTestHarness()>,3,,"Returns ""true"" if the device is running in Test Harness Mode. Test Harness Mode is a feature that allows devices to run without human interaction in a
 device farm/testing harness (such as Firebase Test Lab). You should check this method if you
 want your app to behave differently when running in a test harness to skip setup screens that
 would impede UI testing. e.g. a keyboard application that has a full screen setup page for
 the first time it is launched. Note that you should not use this to determine whether or not your app is running
 an instrumentation test as it is not set for a standard device running a test.",boolean |||,,29
<android.app.ActivityOptions: ActivityOptions setLockTaskEnabled(boolean)>,3,,"Sets whether the activity is to be launched into LockTask mode.

 Use this option to start an activity in LockTask mode. Note that only apps permitted by DevicePolicyManager can run in LockTask mode. Therefore if DevicePolicyManager.isLockTaskPermitted(String) returns false for the package of the target activity a SecurityException will be
 thrown during Context#startActivity(Intent Bundle) . This method doesn't affect
 activities that are already running — relaunch the activity to run in lock task mode.

 Defaults to false if not set.",ActivityOptions this ActivityOptions instance. |||,lockTaskMode boolean : true if the activity is to be launched into LockTask mode. |||,28
"<android.app.admin.DelegatedAdminReceiver: String onChoosePrivateKeyAlias(Context,Intent,int,Uri,String)>",3,,"Allows this receiver to select the alias for a private key and certificate pair for
 authentication.  If this method returns null the default Activity will
 be shown that lets the user pick a private key and certificate pair.
 If this method returns KeyChain#KEY_ALIAS_SELECTION_DENIED the default Activity will not be shown and the user will not be allowed
 to pick anything. And the app that called KeyChain#choosePrivateKeyAlias will
 receive null back. This callback is only applicable if the delegated app has DevicePolicyManager#DELEGATION_CERT_SELECTION capability. Additionally it must
 declare an intent filter for DeviceAdminReceiver#ACTION_CHOOSE_PRIVATE_KEY_ALIAS in the receiver's manifest in order to receive this callback. The default implementation
 simply throws UnsupportedOperationException .",String The private key alias to return and grant access to. |||,"context Context : The running context as per onReceive(Context Intent) .
This value must never be null . |||
intent Intent : The received intent as per onReceive(Context Intent) .
This value must never be null . |||
uid int : The uid of the app asking for the private key and certificate pair. |||
uri Uri : The URI to authenticate may be null.
This value may be null . |||
alias String : The alias preselected by the client or null.
This value may be null . |||",29
"<android.app.admin.DelegatedAdminReceiver: void onNetworkLogsAvailable(Context,Intent,long,int)>",2,,"Called each time a new batch of network logs can be retrieved. This callback method will only
 ever be called when network logging is enabled. The logs can only be retrieved while network
 logging is enabled. If a secondary user or profile is created this callback won't be received until all users
 become affiliated again (even if network logging is enabled). It will also no longer be
 possible to retrieve the network logs batch with the most recent batchToken provided
 by this callback. See DevicePolicyManager#setAffiliationIds . This callback is only applicable if the delegated app has DevicePolicyManager#DELEGATION_NETWORK_LOGGING capability. Additionally it must
 declare an intent filter for DeviceAdminReceiver#ACTION_NETWORK_LOGS_AVAILABLE in the
 receiver's manifest in order to receive this callback. The default implementation
 simply throws UnsupportedOperationException .",void,"context Context : The running context as per onReceive(Context Intent) .
This value must never be null . |||
intent Intent : The received intent as per onReceive(Context Intent) .
This value must never be null . |||
batchToken long : The token representing the current batch of network logs. |||
networkLogsCount int : The total count of events in the current batch of network logs.
Value is 1 or greater |||",29
"<android.app.admin.DelegatedAdminReceiver: void onReceive(Context,Intent)>",2,,"Intercept delegated device administrator broadcasts. Implementations should not override
 this method; implement the convenience callbacks for each action instead.",void,"context Context : This value must never be null . |||
intent Intent : This value must never be null . |||",29
"<android.app.admin.DeviceAdminReceiver: void onTransferAffiliatedProfileOwnershipComplete(Context,UserHandle)>",3,,"Called on the device owner when the ownership of one of its affiliated profiles is
 transferred. This can be used when transferring both device and profile ownership when using
 work profile on a fully managed device. The process would look like this:",void,"context Context : the running context as per onReceive(Context Intent) This value must never be null . |||
user UserHandle : the UserHandle of the affiliated user
This value must never be null . |||",28
"<android.app.admin.DeviceAdminReceiver: void onUserStarted(Context,Intent,UserHandle)>",2,,Called when a user or profile is started. This callback is only applicable to device owners.,void,"context Context : The running context as per onReceive(Context Intent) .
This value must never be null . |||
intent Intent : The received intent as per onReceive(Context Intent) .
This value must never be null . |||
startedUser UserHandle : The UserHandle of the user that has just been started.
This value must never be null . |||",28
