,Annotation
<com.android.server.WifiService: android.os.Messenger getWifiServiceMessenger()>,NONE
<com.android.server.WifiService: void clearBlacklist()>,NONE
"<com.android.server.WifiService: void setWifiApEnabled(android.net.wifi.WifiConfiguration,boolean)>",SINK
<android.net.wifi.WifiManager: boolean reconnect()>,NONE
<com.android.systemui.statusbar.phone.PhoneStatusBar: com.android.systemui.statusbar.phone.PhoneStatusBarView makeStatusBarView()>,SOURCE
"<com.android.providers.settings.SettingsBackupAgent: void onRestoreFile(android.os.ParcelFileDescriptor,long,int,java.lang.String,java.lang.String,long,long)>",SOURCE
<com.android.settings.wifi.WifiSettingsForSetupWizardXL: void updateConnectionState(android.net.NetworkInfo$DetailedState)>,NONE
<com.android.settings.SettingsPreferenceFragment: void onActivityCreated(android.os.Bundle)>,NONE
<com.android.server.ConnectivityService: void tryFailover(int)>,NONE
<com.android.server.ConnectivityService: boolean teardown(android.net.NetworkStateTracker)>,NONE
<com.android.settings.AccessibilitySettings$ToggleAccessibilityServicePreferenceFragment: void onActivityCreated(android.os.Bundle)>,NONE
<com.android.settings.AccessibilitySettings: void onActivityCreated(android.os.Bundle)>,NONE
<com.android.settings.ChooseLockGeneric$ChooseLockGenericFragment: void onActivityCreated(android.os.Bundle)>,NONE
<com.android.settings.vpn2.VpnSettings: void onActivityCreated(android.os.Bundle)>,NONE
<android.net.IConnectivityManager$Stub$Proxy: boolean setRadios(boolean)>,SINK
<com.android.settings.bluetooth.BluetoothSettings: void onActivityCreated(android.os.Bundle)>,NONE
"<com.android.settings.SecuritySettings: void onActivityResult(int,int,android.content.Intent)>",NONE
<com.android.server.ConnectivityService$FeatureUser: void binderDied()>,NONE
"<com.android.server.ConnectivityService$FeatureUser: void <init>(com.android.server.ConnectivityService,int,java.lang.String,android.os.IBinder)>",NONE
<com.android.server.connectivity.Tethering$TetherMasterSM$InitialState: boolean turnOnUpstreamMobileConnection(int)>,SINK
<com.android.server.ConnectivityService: void setNetworkPreference(int)>,SINK
<com.android.systemui.SystemUIService: void onCreate()>,NONE
<com.android.server.connectivity.Tethering$TetherMasterSM$TetherModeAliveState: void chooseUpstreamType(boolean)>,NONE
<com.android.internal.util.StateMachine$SmHandler: void invokeEnterMethods(int)>,NONE
<android.net.wifi.p2p.WifiP2pService$P2pStateMachine$GroupCreatingState: void exit()>,NONE
<com.android.server.connectivity.Tethering$TetherInterfaceSM$InitialState: void exit()>,NONE
<android.net.wifi.p2p.IWifiP2pManager$Stub$Proxy: android.os.Messenger getMessenger()>,SOURCE
"<android.net.wifi.p2p.IWifiP2pManager$Stub: boolean onTransact(int,android.os.Parcel,android.os.Parcel,int)>",SINK
<android.net.wifi.WifiStateMachine$InitialState: void enter()>,NONE
"<com.google.android.mms.pdu.PduPersister: void updateHeaders(android.net.Uri,com.google.android.mms.pdu.SendReq)>",SINK
"<com.android.providers.telephony.SmsProvider: android.net.Uri insert(android.net.Uri,android.content.ContentValues)>",SINK
"<com.android.mms.data.Conversation$ConversationQueryHandler: void onDeleteComplete(int,java.lang.Object,int)>",NONE
<com.android.mms.ui.MessageListAdapter$OnDataSetChangedListener: void onContentChanged(com.android.mms.ui.MessageListAdapter)>,NONE
<com.android.mms.util.PduLoaderManager$PduTask$1: void run()>,NONE
"<com.android.mms.ui.MmsThumbnailPresenter: void presentVideoThumbnail(com.android.mms.ui.SlideViewInterface,com.android.mms.model.VideoModel)>",NONE
<com.android.mms.ui.AttachmentEditor: boolean update(com.android.mms.data.WorkingMessage)>,NONE
<com.android.mms.ui.ComposeMessageActivity: void drawTopPanel(boolean)>,NONE
<com.android.mms.ui.ComposeMessageActivityNoLockScreen: void onCreate(android.os.Bundle)>,NONE
"<android.provider.Telephony$Sms: android.database.Cursor query(android.content.ContentResolver,java.lang.String[])>",SOURCE
<com.android.mms.data.Conversation$3: void run()>,NONE
<com.android.mms.util.Recycler$MmsRecycler: android.database.Cursor getAllThreads(android.content.Context)>,SOURCE
<com.android.mms.ui.ClassZeroActivity: void saveMessage()>,SINK
<com.android.mms.util.Recycler$SmsRecycler: android.database.Cursor getAllThreads(android.content.Context)>,SOURCE
<com.android.mms.ui.ManageSimMessages: void startQuery()>,SINK
"<com.android.internal.telephony.SMSDispatcher: int processMessagePart(byte[],java.lang.String,int,int,int,long,int,boolean)>",SINK
<com.android.internal.telephony.cdma.CdmaSMSDispatcher: int dispatchMessage(com.android.internal.telephony.SmsMessageBase)>,SINK
"<com.android.mms.util.Recycler$SmsRecycler: void deleteOldMessagesByThreadId(android.content.Context,long)>",NONE
"<com.android.mms.transaction.SmsMessageSender: void <init>(android.content.Context,java.lang.String[],java.lang.String,long)>",NONE
<com.android.mms.data.WorkingMessage: void deleteDraftSmsMessage(long)>,NONE
"<com.android.mms.transaction.MessageStatusService: android.telephony.SmsMessage updateMessageStatus(android.content.Context,android.net.Uri,byte[],java.lang.String)>",SINK
<com.android.mms.transaction.SmsReceiverService: int moveOutboxMessagesToFailedBox()>,SOURCE
<android.nfc.NfcAdapter: void disableForegroundDispatch(android.app.Activity)>,NONE
"<com.android.browser.NfcHandler: void register(android.app.Activity,com.android.browser.Controller)>",NONE
<com.android.browser.Controller: void onPause()>,NONE
<com.android.gallery3d.app.Gallery: void startDefaultPage()>,NONE
<com.android.gallery3d.app.CropImage$LoadDataTask: android.graphics.BitmapRegionDecoder run(com.android.gallery3d.util.ThreadPool$JobContext)>,NONE
<com.android.gallery3d.app.AlbumPage$5: boolean onActionItemClicked(android.view.MenuItem)>,NONE
<com.android.gallery3d.app.PhotoPage: void onBackPressed()>,NONE
<com.android.gallery3d.app.ActivityState: void onBackPressed()>,NONE
<com.android.gallery3d.app.ManageCachePage: void onProgressComplete(int)>,NONE
<com.android.gallery3d.ui.MenuExecutor$MediaOperation: java.lang.Object run(com.android.gallery3d.util.ThreadPool$JobContext)>,NONE
<com.android.gallery3d.ui.SlideshowView: boolean onTouch(android.view.MotionEvent)>,NONE
<com.android.camera.PanoramaActivity: void onBackPressed()>,NONE
<com.android.gallery3d.ui.TileImageView: boolean dispatchTouchEvent(android.view.MotionEvent)>,NONE
<com.android.gallery3d.app.DialogPicker: void onResume()>,NONE
<com.android.gallery3d.ui.SlideshowView: void removeAllComponents()>,NONE
<com.android.gallery3d.app.ManageCachePage: void setContentPane(com.android.gallery3d.ui.GLView)>,NONE
<com.android.gallery3d.app.CropImage: void onPause()>,NONE
<com.android.nfc.NfcService$TagService: int close(int)>,NONE
<android.nfc.tech.IsoDep: void close()>,NONE
<android.nfc.tech.NfcB: void close()>,NONE
"<android.nfc.tech.NfcB: byte[] transceive(byte[],boolean)>",SOURCE
<com.android.nfc.NfcService$TagService: int ndefMakeReadOnly(int)>,NONE
