,Old Annotation,New Annotation,Description,Parameters,Return,ClassDescription,PackageDescription
<android.view.contentcapture.ContentCaptureSession: void setContentCaptureContext(ContentCaptureContext)>,NEITHER,SINK,Sets the ContentCaptureContext associated with the session. Typically used to change the context associated with the default session from an activity.,context ContentCaptureContext : This value may be null . |||,void,Session used when notifying the Android system about events associated with views.,
<android.view.contentcapture.ContentCaptureContext: Bundle getExtras()>,NEITHER,SOURCE,Gets the (optional) extras set by the app (through Builder#setExtras(Bundle) ). It can be used to provide vendor-specific data that can be modified and examined.,,Bundle This value may be null . |||,"Context associated with a  ContentCaptureSession  - see  ContentCaptureManager  for
 more info.",
<android.view.contentcapture.ContentCaptureCondition: int hashCode()>,NEITHER,NEITHER,"Returns a hash code value for the object. This method is
 supported for the benefit of hash tables such as those provided by HashMap . The general contract of hashCode is: Whenever it is invoked on the same object more than once during
     an execution of a Java application the hashCode method
     must consistently return the same integer provided no information
     used in equals comparisons on the object is modified.
     This integer need not remain consistent from one execution of an
     application to another execution of the same application. 
If two objects are equal according to the equals(Object) method then calling the hashCode method on each of
     the two objects must produce the same integer result. 
It is not required that if two objects are unequal
     according to the equals(java.lang.Object) method then calling the hashCode method on each of the
     two objects must produce distinct integer results.  However the
     programmer should be aware that producing distinct integer results
     for unequal objects may improve the performance of hash tables. 
As much as is reasonably practical the hashCode method defined by
 class Object does return distinct integers for distinct
 objects. (This is typically implemented by converting the internal
 address of the object into an integer but this implementation
 technique is not required by the
 Javaâ„¢ programming language.)",,int a hash code value for this object. |||,"Defines a condition for when content capture should be allowed.

  See  ContentCaptureManager#getContentCaptureConditions()  for more.",
<android.view.contentcapture.ContentCaptureContext.Builder: ContentCaptureContext build()>,NEITHER,SOURCE,Builds the ContentCaptureContext .,,ContentCaptureContext the built ContentCaptureContext This value will never be null . |||,Builder for  ContentCaptureContext  objects.,
<android.view.contentcapture.ContentCaptureSessionId: String toString()>,SOURCE,SOURCE,"Returns a string representation of the object. In general the toString method returns a string that
 ""textually represents"" this object. The result should
 be a concise but informative representation that is easy for a
 person to read.
 It is recommended that all subclasses override this method. The toString method for class Object returns a string consisting of the name of the class of which the
 object is an instance the at-sign character ` @ ' and
 the unsigned hexadecimal representation of the hash code of the
 object. In other words this method returns a string equal to the
 value of: NOTE: this method is only useful for debugging purposes and is not guaranteed to
 be stable hence it should not be used to identify the session.",,String a string representation of the object. |||,Identifier for a Content Capture session.,
<android.view.contentcapture.ContentCaptureContext: LocusId getLocusId()>,SOURCE,SOURCE,Gets the context id.,,LocusId This value may be null . |||,"Context associated with a  ContentCaptureSession  - see  ContentCaptureManager  for
 more info.",
<android.view.contentcapture.DataRemovalRequest: int describeContents()>,NEITHER,NEITHER,"Describe the kinds of special objects contained in this Parcelable
 instance's marshaled representation. For example if the object will
 include a file descriptor in the output of writeToParcel(android.os.Parcel int) the return value of this method must include the CONTENTS_FILE_DESCRIPTOR bit.",,"int a bitmask indicating the set of special object types marshaled
 by this Parcelable object instance.
 
 Value is either 0 or CONTENTS_FILE_DESCRIPTOR |||","Class used by apps to remove content capture data associated with  LocusId .

  An app which has tagged data with a LocusId can therefore delete them later. This is intended
 to let apps propagate deletions of user data into the operating system.",
"<android.view.contentcapture.ContentCaptureSession: ViewStructure newVirtualViewStructure(AutofillId,long)>",NEITHER,SOURCE,"Creates a ViewStructure for a ""virtual"" view so it can be passed to notifyViewAppeared(android.view.ViewStructure) by the view managing the virtual view hierarchy.","parentId AutofillId : id of the virtual view parent (it can be obtained by calling ViewStructure#getAutofillId() on the parent).
This value must never be null . |||
virtualId long : id of the virtual child relative to the parent. |||","ViewStructure a new ViewStructure that can be used for Content Capture purposes.
 
 This value will never be null . |||",Session used when notifying the Android system about events associated with views.,
"<android.view.contentcapture.ContentCaptureSession: void notifyViewTextChanged(AutofillId,CharSequence)>",SINK,NEITHER,Notifies the Intelligence Service that the value of a text node has been changed.,"id AutofillId : of the node.
This value must never be null . |||
text CharSequence : new text.
This value may be null . |||",void,Session used when notifying the Android system about events associated with views.,
<android.view.contentcapture.DataRemovalRequest.LocusIdRequest: int getFlags()>,NEITHER,SOURCE,Gets the flags associates with request.,,"int either DataRemovalRequest#FLAG_IS_PREFIX or 0 .
 
 This value will never be null .
 
 Value is either 0 or DataRemovalRequest.FLAG_IS_PREFIX |||",Representation of a request to remove data associated with a  LocusId .,
<android.view.contentcapture.DataRemovalRequest: String getPackageName()>,NEITHER,SOURCE,Gets the name of the app that's making the request.,,String This value will never be null . |||,"Class used by apps to remove content capture data associated with  LocusId .

  An app which has tagged data with a LocusId can therefore delete them later. This is intended
 to let apps propagate deletions of user data into the operating system.",
<android.view.contentcapture.ContentCaptureContext: ContentCaptureContext forLocusId(String)>,NEITHER,SOURCE,Helper that creates a ContentCaptureContext associated with the given id .,id String : This value must never be null . |||,ContentCaptureContext This value will never be null . |||,"Context associated with a  ContentCaptureSession  - see  ContentCaptureManager  for
 more info.",
<android.view.contentcapture.DataRemovalRequest.Builder: DataRemovalRequest build()>,NEITHER,NEITHER,Builds the DataRemovalRequest .,,DataRemovalRequest This value will never be null . |||,Builder for  DataRemovalRequest  objects.,
<android.view.contentcapture.ContentCaptureSession: void notifyViewDisappeared(AutofillId)>,NEITHER,NEITHER,"Notifies the Content Capture Service that a node has been removed from the view structure. Typically called ""manually"" by views that handle their own virtual view hierarchy or
 automatically by the Android System for standard views.","id AutofillId : id of the node that has been removed.
This value must never be null . |||",void,Session used when notifying the Android system about events associated with views.,
