,SS GroundT,Cat GroundT,Description,Return,Parameters,ApiLevel
<android.telephony.CellInfoTdscdma: int hashCode()>,,,"Returns a hash code value for the object. This method is
 supported for the benefit of hash tables such as those provided by HashMap . The general contract of hashCode is: Whenever it is invoked on the same object more than once during
     an execution of a Java application the hashCode method
     must consistently return the same integer provided no information
     used in equals comparisons on the object is modified.
     This integer need not remain consistent from one execution of an
     application to another execution of the same application. 
If two objects are equal according to the equals(Object) method then calling the hashCode method on each of
     the two objects must produce the same integer result. 
It is not required that if two objects are unequal
     according to the equals(java.lang.Object) method then calling the hashCode method on each of the
     two objects must produce distinct integer results.  However the
     programmer should be aware that producing distinct integer results
     for unequal objects may improve the performance of hash tables. 
As much as is reasonably practical the hashCode method defined by
 class Object does return distinct integers for distinct
 objects. (This is typically implemented by converting the internal
 address of the object into an integer but this implementation
 technique is not required by the
 Java™ programming language.)",int hash code |||,,29.0
<android.telephony.data.ApnSetting.Builder: ApnSetting.Builder setEntryName(String)>,,,Sets a human-readable name that describes the APN.,ApnSetting.Builder This value will never be null . |||,"entryName String : the entry name to set for the APN
This value may be null . |||",28.0
"<android.media.audiofx.DynamicsProcessing: DynamicsProcessing.MbcBand getMbcBandByChannelIndex(int,int)>",,,,DynamicsProcessing.MbcBand |||,"channelIndex int |||
band int |||",28.0
<android.widget.Toolbar: CharSequence getCollapseContentDescription()>,,,"Retrieve the currently configured content description for the collapse button view.
 This will be used to describe the collapse action to users through mechanisms such
 as screen readers or tooltips. Related XML Attributes: android:collapseContentDescription","CharSequence The collapse button's content description

 This value may be null . |||",,29.0
<android.icu.text.Bidi: int getRunLimit(int)>,,,"Return the index of the character past the end of the nth logical run in
 this line as an offset from the start of the line. For example this
 will return the length of the line for the last run on the line.",int the limit of the run |||,run int : the index of the run between 0 and countRuns() |||,29.0
<android.service.notification.ZenPolicy: int getPriorityMessageSenders()>,,,Message senders that can bypass DND.,int PEOPLE_TYPE_UNSET  PEOPLE_TYPE_ANYONE  PEOPLE_TYPE_CONTACTS  PEOPLE_TYPE_STARRED or PEOPLE_TYPE_NONE Value is PEOPLE_TYPE_UNSET  PEOPLE_TYPE_ANYONE  PEOPLE_TYPE_CONTACTS  PEOPLE_TYPE_STARRED or PEOPLE_TYPE_NONE |||,,29.0
<android.media.audiofx.DynamicsProcessing: DynamicsProcessing.Limiter getLimiterByChannelIndex(int)>,,,,DynamicsProcessing.Limiter |||,channelIndex int |||,28.0
<android.widget.AutoCompleteTextView: void refreshAutoCompleteResults()>,,,"Refreshes the auto complete results. You usually shouldn't have to manually refresh the
 AutoCompleteResults as this is done automatically whenever the text changes. However if the
 results are not available and have to be fetched you can call this function after fetching
 the results.",void,,29.0
<android.app.NotificationManager: boolean areBubblesAllowed()>,,,"Sets whether notifications posted by this app can appear outside of the
 notification shade floating over other apps' content. This value will be ignored for notifications that are posted to channels that do not
 allow bubbles ( NotificationChannel#canBubble() .",boolean |||,,29.0
"<android.app.AppComponentFactory: BroadcastReceiver instantiateReceiver(ClassLoader,String,Intent)>",,,"Allows application to override the creation of receivers. This can be used to
 perform things such as dependency injection or class loader changes to these
 classes.",BroadcastReceiver This value will never be null . |||,"cl ClassLoader : The default classloader to use for instantiation.
This value must never be null . |||
className String : The class to be instantiated.
This value must never be null . |||
intent Intent : Intent creating the class.
This value may be null . |||",28.0
<android.graphics.fonts.Font.Builder: Font.Builder setFontVariationSettings(String)>,,,Sets the font variation settings.,"Font.Builder this builder
 This value will never be null . |||",variationSettings String : see FontVariationAxis#fromFontVariationSettings(String) This value may be null . |||,29.0
<android.graphics.drawable.ColorStateListDrawable: void setAlpha(int)>,,,"Specify an alpha value for the drawable. 0 means fully transparent and
 255 means fully opaque.",void,alpha int : Value is between 0 and 255 inclusive |||,29.0
"<android.text.style.LineHeightSpan.Standard: void chooseHeight(CharSequence,int,int,int,int,Paint.FontMetricsInt)>",,,Classes that implement this should define how the height is being calculated.,void,"text CharSequence : This value must never be null . |||
start int : the start of the line |||
end int : the end of the line |||
spanstartv int : the start of the span |||
lineHeight int : the line height |||
fm Paint.FontMetricsInt : This value must never be null . |||",29.0
<android.telephony.SubscriptionPlan: int getDataLimitBehavior()>,,,Return the behavior of data access when usage reaches getDataLimitBytes() .,int Value is LIMIT_BEHAVIOR_UNKNOWN  LIMIT_BEHAVIOR_DISABLED  LIMIT_BEHAVIOR_BILLED or LIMIT_BEHAVIOR_THROTTLED |||,,28.0
<android.text.style.LineBackgroundSpan.Standard: int getColor()>,,,,int the color of this span. |||,,29.0
<android.view.textclassifier.SelectionEvent: String getResultId()>,,,Returns the id of the text classifier result associated with this event.,String This value may be null . |||,,28.0
<android.view.textclassifier.TextSelection.Request.Builder: TextSelection.Request.Builder setDefaultLocales(LocaleList)>,,,,TextSelection.Request.Builder this builder. |||,"defaultLocales LocaleList : ordered list of locale preferences that may be used to
disambiguate the provided text. If no locale preferences exist set this to null
or an empty locale list.
This value may be null . |||",28.0
